split,row_id,label,target_binary,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
train,cicids1771::1364,PortScan,1,80,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,100000.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,12500.0,12500.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0375,BENIGN,0,37,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,324324.3243,54054.05405,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,27027.02703,27027.02703,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,114,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0563,Web Attack - Brute Force,1,5616800,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.712149266,1872266.667,3242230.532,5616072,155,5616800,2808400.0,3970647.821,5616072,728,0,0.0,0.0,0,0,0,0,0,0,104,40,0.53411195,0.178037317,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1344,DDoS,1,62073,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,187311.7136,128.8805117,8867.571429,21643.78003,57888,76,3332,1666.0,2163.74675,3196,136,61997,15499.25,28294.23387,57888,182,0,0,0,0,72,112,48.33019187,80.55031978,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0722,BENIGN,0,651901,16,14,861,13774,210,0,53.8125,75.10989171,2552,0,983.8571429,881.3305376,22449.7278,46.01925753,22479.34483,54058.46433,261036,3,651901,43460.06667,69942.21446,261036,4,508110,39085.38462,85447.21524,290906,3,0,0,0,0,332,292,24.54360401,21.47565351,0,2552,472.0967742,749.9140553,562371.0903,0,0,0,1,0,0,0,0,0,487.8333333,53.8125,983.8571429,332,0,0,0,0,0,0,16,861,14,13774,8192,127,15,20,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1588,BENIGN,0,5086148,10,8,752,3728,517,0,75.2,165.5534825,1448,0,466.0,636.7533723,880.823759,3.539024032,299185.1765,1192249.768,4925364,3,5086148,565127.5556,1635311.902,4925364,3,84707,12101.0,19242.4026,42133,48,0,0,0,0,328,264,1.966124462,1.57289957,0,1448,235.7894737,460.8155306,212350.9532,0,0,0,1,0,0,0,0,0,248.8888889,75.2,466.0,328,0,0,0,0,0,0,10,752,8,3728,29200,12579,3,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1105,BENIGN,0,20127858,11,15,830,8503,271,0,75.45454545,97.81959276,1460,0,566.8666667,640.1854493,463.6857037,1.291742022,805114.32,3984813.034,19900000,3,136526,13652.6,12330.65817,31086,18,20100000,1435630.0,5323692.427,19900000,3,0,0,0,0,232,312,0.54650624,0.745235782,0,1460,345.6666667,536.727907,288076.8462,0,0,0,1,0,0,0,0,1,358.9615385,75.45454545,566.8666667,232,0,0,0,0,0,0,11,830,15,8503,8192,64,10,20,195763.0,0.0,195763,195763,19900000.0,0.0,19900000,19900000
train,cicids1771::0459,BENIGN,0,29968079,14,17,7045,4778,3269,0,503.2142857,944.7255343,1448,0,281.0588235,515.2337419,394.5197822,1.034434006,998935.9667,3003750.289,10000000,1,20400000,1569580.769,3752966.436,10100000,1,29900000,1871545.938,3970773.426,10100000,1,0,0,0,0,456,540,0.467163744,0.567270261,0,3269,369.46875,726.6771473,528059.6764,0,0,0,1,0,0,0,0,1,381.3870968,503.2142857,281.0588235,456,0,0,0,0,0,0,14,7045,17,4778,29200,11425,6,32,133713.3333,191197.4517,354489,23115,9855646.333,273422.0049,10000000,9540414
test,cicids1771::0495,Web Attack - XSS,1,5788502,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.69102507,1929500.667,3341228.502,5787619,126,5788502,2894251.0,4091840.267,5787619,883,0,0.0,0.0,0,0,0,0,0,0,104,40,0.518268803,0.172756268,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1665,BENIGN,0,48695,4,4,448,871,436,0,112.0,216.0185177,859,0,217.75,427.5093566,27086.96991,164.2879146,6956.428571,11607.50632,23988,2,48692,16230.66667,13791.14115,24409,308,24790,8263.333333,13946.85464,24366,5,0,0,0,0,92,92,82.14395729,82.14395729,0,859,146.5555556,303.0705822,91851.77778,0,0,0,1,0,0,0,0,1,164.875,112.0,217.75,92,0,0,0,0,0,0,4,448,4,871,8192,31,3,20,0.0,0.0,0,0,0.0,0.0,0,0
