label,payload,source_ip,destination_ip,protocol,port
BENIGN,,0.0.0.0,0.0.0.0,Unknown,40474
BENIGN,,0.0.0.0,0.0.0.0,Unknown,28907
BENIGN,,0.0.0.0,0.0.0.0,Unknown,0
BENIGN,,0.0.0.0,0.0.0.0,Unknown,443
BENIGN,,0.0.0.0,0.0.0.0,Unknown,17541
BENIGN,,0.0.0.0,0.0.0.0,Unknown,62769
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,62230
BENIGN,,0.0.0.0,0.0.0.0,Unknown,64804
BENIGN,,0.0.0.0,0.0.0.0,Unknown,64884
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53083
BENIGN,,0.0.0.0,0.0.0.0,Unknown,20681
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,55862
BENIGN,,0.0.0.0,0.0.0.0,Unknown,50555
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,443
BENIGN,,0.0.0.0,0.0.0.0,Unknown,42323
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53736
BENIGN,,0.0.0.0,0.0.0.0,Unknown,60320
BENIGN,,0.0.0.0,0.0.0.0,Unknown,55129
BENIGN,,0.0.0.0,0.0.0.0,Unknown,80
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,135
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,55176
BENIGN,,0.0.0.0,0.0.0.0,Unknown,55179
BENIGN,,0.0.0.0,0.0.0.0,Unknown,59854
BENIGN,,0.0.0.0,0.0.0.0,Unknown,9569
BENIGN,,0.0.0.0,0.0.0.0,Unknown,443
BENIGN,,0.0.0.0,0.0.0.0,Unknown,52786
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
BENIGN,,0.0.0.0,0.0.0.0,Unknown,55701
BENIGN,,0.0.0.0,0.0.0.0,Unknown,443
BENIGN,,0.0.0.0,0.0.0.0,Unknown,53
