label,vector_norm,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
Exploit,3.962388,0.39354029,0.81948978,0.02314943,0.30557245,0.04629886,0.3842805,0.37965062,0.31946212,0.00147095,3.13e-05,0.0,0.0,0.00198424,0.0,0.00462989,0.0013118,0.00441048,0.00462989,0.00462989,0.0014091,0.00077165,0.0,0.0,0.00130953,0.00179916,0.00143966,0.0,0.00462989,0.39354029,0.81948978,0.02314943,0.30557245,0.04629886,0.3842805,0.37965062,0.31946212,0.00147095,3.13e-05,0.0,0.0,0.00198424,0.0,0.00462989,0.0013118,0.00441048,0.00462989,0.00462989,0.0014091,0.00077165,0.0,0.0,0.00130953,0.00179916,0.00143966,0.0,0.00462989,0.17280322,0.36222973,1.0,0.68254447,0.95495379,0.38187662,0.21758516,0.11857152,0.10280579,0.60525012,0.57988018,0.36184418,0.41875812,0.62076807,0.42322177,0.10153159,0.16759895,0.43464011,0.11895183,0.5310573,0.21821435,0.54653913,0.04534339,0.63760537,0.50702244,0.5766812,0.15894593,0.43375534,0.09704518,0.39469501,0.17743856,0.45830679,0.28780454,0.53090286,0.82156515,0.35357437,0.01712168,0.66537869,0.36478761,0.39457101,0.1726934,0.22718231,0.41597116,0.24270563,0.04054067,0.11969907,0.14297348,0.48476726,0.46268931,0.53647876,0.50322533,0.23405154,0.23103917,0.53520042,0.19767064,0.43497941,0.54935509,0.27144805,0.35223559,0.41623756,0.29843712,0.38071695,0.03002264,0.13695669,0.10191774,0.90458596,0.21711247,0.52484804,0.10161228,0.37900469,0.32267538,0.23303317
Worm,3.864884,0.57168829,0.30071464,0.34697843,0.2974101,0.03304557,0.57829738,0.82613915,0.68734783,0.00253034,7.01e-06,0.0,0.0,0.0,0.00165228,0.00220304,0.00167651,0.00143127,0.00330456,0.00330456,0.0024425,0.0,0.0,0.0,0.00178511,0.00187113,0.00252333,0.0,0.00330456,0.57168829,0.30071464,0.34697843,0.2974101,0.03304557,0.57829738,0.82613915,0.68734783,0.00253034,7.01e-06,0.0,0.0,0.0,0.00165228,0.00220304,0.00167651,0.00143127,0.00330456,0.00330456,0.0024425,0.0,0.0,0.0,0.00178511,0.00187113,0.00252333,0.0,0.00330456,0.50993818,0.80907899,0.29207844,0.76367593,0.25039071,0.67950004,0.23995779,0.71800095,0.20845485,0.59110582,0.63159525,0.14722794,0.63871479,0.50654221,0.27235278,0.19804226,0.17074811,0.05795908,0.28050798,0.20298713,0.07481892,0.26105016,0.61433053,1.0,0.04494125,0.02301421,0.1386437,0.25037506,0.25885785,0.15665704,0.34989536,0.37220091,0.25442052,0.08676121,0.33400616,0.45154312,0.05905542,-0.00650708,0.34376466,0.02443481,0.08350071,0.04902383,0.08016674,0.2215308,0.05792613,0.20107827,0.36418179,0.092348,0.31486893,0.44588506,0.09152655,0.20071648,0.11991183,0.49214643,0.13284278,0.66139096,0.76202297,0.56713176,0.10604198,0.18741602,0.80620664,0.15202706,0.16037954,0.12342805,0.31831941,0.48649123,0.12708712,0.23665224,0.36161843,0.57659853,0.19130775,-0.02485361
DoS,4.339767,0.34510085,0.09545343,0.75261354,0.46625328,0.03671286,0.64247495,0.66817397,0.90680754,0.00289339,2.482e-05,0.0,0.0,0.0,0.00183564,0.00244752,0.00367129,0.00173354,0.00367129,0.00367129,0.00239432,0.0,0.0,0.0,0.00191843,0.00227835,0.00286857,0.0,0.00367129,0.34510085,0.09545343,0.75261354,0.46625328,0.03671286,0.64247495,0.66817397,0.90680754,0.00289339,2.482e-05,0.0,0.0,0.0,0.00183564,0.00244752,0.00367129,0.00173354,0.00367129,0.00367129,0.00239432,0.0,0.0,0.0,0.00191843,0.00227835,0.00286857,0.0,0.00367129,0.186947,0.26030031,0.75970048,0.91982752,0.06057017,0.54659021,0.16883153,0.00058663,0.43440607,0.64638406,0.52610391,0.66758078,0.45914835,0.62968332,0.18643898,0.47765619,0.40725818,0.02660304,0.28824952,0.11515814,0.66449153,0.16700147,0.18984616,0.62093103,0.06445693,0.39963594,0.05469552,0.40499324,0.45449334,0.69300163,0.084373,0.74809784,0.57792103,0.1318066,0.13978967,0.46692446,0.22198668,0.44687545,0.09931201,0.62375551,0.69188911,-0.03687092,0.37750953,0.20852055,0.39478305,0.57484066,0.73566735,0.68414676,0.24157248,0.05043493,0.22398154,0.18938085,0.16143404,0.38731647,0.30621114,0.5077585,0.2687014,0.21562912,1.0,0.30308127,0.15577245,0.4431577,0.562787,0.40959352,0.06030021,0.25199342,0.23602815,0.27584016,-0.00345995,0.21183683,0.71568263,0.32297313
Normal,3.16782,0.03222658,0.0,0.49951196,0.19013681,0.03222658,0.0,0.6832034,0.44150409,0.00228357,1.23e-06,0.0,0.0,0.00184152,0.00080566,0.0,0.00050488,0.00711918,0.0,0.00322266,0.00308254,0.0,0.0,0.0,0.00092098,0.00196906,0.00228234,0.00322266,0.00322266,0.03222658,0.0,0.49951196,0.19013681,0.03222658,0.0,0.6832034,0.44150409,0.00228357,1.23e-06,0.0,0.0,0.00184152,0.00080566,0.0,0.00050488,0.00711918,0.0,0.00322266,0.00308254,0.0,0.0,0.0,0.00092098,0.00196906,0.00228234,0.00322266,0.00322266,-0.4731847,-0.28044418,-0.07665456,0.00112732,-0.09635323,-0.07605707,-0.49898198,-0.13959521,-0.14101709,-0.24016002,-0.37297291,-0.1969229,-0.40236384,-0.25443593,-0.02433792,-0.63798815,-0.46033463,-0.19164017,-0.53385353,-0.16306421,-0.56571877,-0.10370321,-0.27870619,-0.37199754,-0.38151458,-0.53619248,-0.16538,-1.0,-0.06084862,-0.30368853,-0.25290969,-0.41010886,-0.12954055,-0.01409206,-0.10534496,-0.09813459,-0.23548719,-0.34872398,-0.14557619,-0.57970542,-0.34207582,-0.24670522,-0.01398758,-0.13483834,-0.20243594,-0.09143952,0.01409665,-0.61678976,-0.15565871,-0.06464552,-0.47253689,-0.13775031,-0.30311731,-0.06576248,-0.42100936,-0.26203245,-0.7419492,-0.17098121,-0.50028312,-0.34604692,-0.44457877,-0.27811208,-0.42476934,-0.01978399,-0.00701484,-0.33659157,-0.16798659,-0.21193872,-0.2278007,-0.32019252,-0.29750919,-0.33576983
Exploit,4.059925,0.32200626,0.7163735,0.48481843,0.81767881,0.03618048,0.43778381,0.27497163,0.08683315,0.00316496,2.446e-05,0.0,0.0,0.00155059,0.0,0.00361805,0.00093104,0.00382964,0.00361805,0.00361805,0.00110114,0.00060301,0.0,0.0,0.00155718,0.00202081,0.0031405,0.0,0.00361805,0.32200626,0.7163735,0.48481843,0.81767881,0.03618048,0.43778381,0.27497163,0.08683315,0.00316496,2.446e-05,0.0,0.0,0.00155059,0.0,0.00361805,0.00093104,0.00382964,0.00361805,0.00361805,0.00110114,0.00060301,0.0,0.0,0.00155718,0.00202081,0.0031405,0.0,0.00361805,0.16063403,0.35196173,1.0,0.66858989,0.95125228,0.38391399,0.22565138,0.09701281,0.09612795,0.61340523,0.56228364,0.38303813,0.40163282,0.65442783,0.38545701,0.09060846,0.18869068,0.41353053,0.11728185,0.50620377,0.24895263,0.52548367,-0.00595174,0.63607359,0.52001995,0.55565113,0.14192751,0.46033522,0.04280165,0.39034832,0.13961144,0.47276962,0.24192323,0.54363984,0.81182384,0.3625595,0.0162138,0.60762513,0.38496122,0.36211619,0.19491141,0.23508692,0.41150922,0.25370598,0.06310039,0.09975625,0.12286061,0.48165748,0.45115894,0.54584879,0.48968583,0.24223734,0.23030086,0.5323298,0.2152428,0.43510312,0.5664531,0.29954538,0.35439861,0.36579329,0.27751306,0.3876442,0.03417038,0.12231318,0.11155403,0.89394146,0.25217068,0.52797884,0.09500491,0.38291863,0.30890107,0.29308391
Normal,3.169068,0.02711504,0.0,0.34164953,0.677876,0.02711504,0.0,0.46366721,0.42570615,0.00202307,3.31e-06,0.0,0.0,0.0,0.00067788,0.0,0.00034707,0.00695807,0.0,0.0027115,0.00223994,0.0,0.0,0.0,0.00096232,0.00193781,0.00201976,0.0027115,0.0027115,0.02711504,0.0,0.34164953,0.677876,0.02711504,0.0,0.46366721,0.42570615,0.00202307,3.31e-06,0.0,0.0,0.0,0.00067788,0.0,0.00034707,0.00695807,0.0,0.0027115,0.00223994,0.0,0.0,0.0,0.00096232,0.00193781,0.00201976,0.0027115,0.0027115,-0.4279249,-0.2900553,-0.05127286,-0.01650088,-0.08065633,-0.0601617,-0.48915064,-0.13809417,-0.11691242,-0.26477373,-0.38067922,-0.19633614,-0.4109239,-0.24240501,0.00158661,-0.62403935,-0.46470892,-0.18242796,-0.54815662,-0.16077273,-0.56677353,-0.12402802,-0.28144422,-0.37642837,-0.36946693,-0.52973992,-0.17060244,-1.0,-0.07047532,-0.30830321,-0.24649671,-0.39206102,-0.0983521,-0.01354824,-0.09336648,-0.08216398,-0.25094405,-0.32914388,-0.14013655,-0.58871961,-0.33665189,-0.22737958,0.00558751,-0.13271827,-0.20275512,-0.10340714,0.00256201,-0.64118314,-0.1954245,-0.08119974,-0.44902492,-0.1402595,-0.27991274,-0.05061912,-0.42877218,-0.25007382,-0.72167593,-0.1939844,-0.48952892,-0.32547849,-0.44930762,-0.28678179,-0.46355233,-0.02573537,-0.00253764,-0.37419814,-0.17895709,-0.18716356,-0.2228432,-0.31406853,-0.30267492,-0.35458598
Exploit,3.84809,0.07951517,0.12873884,0.81029743,0.25369126,0.03786436,0.37107077,0.14767103,0.32184711,0.00010602,0.00046684,0.0,0.0,0.00162276,0.0,0.00378644,0.00095923,0.00579462,0.00378644,0.00378644,0.00279867,0.0,0.0,0.0,0.00105426,0.00181161,0.00036082,0.0,0.00378644,0.07951517,0.12873884,0.81029743,0.25369126,0.03786436,0.37107077,0.14767103,0.32184711,0.00010602,0.00046684,0.0,0.0,0.00162276,0.0,0.00378644,0.00095923,0.00579462,0.00378644,0.00378644,0.00279867,0.0,0.0,0.0,0.00105426,0.00181161,0.00036082,0.0,0.00378644,0.15294422,0.3384003,1.0,0.68347061,0.94725627,0.37386864,0.21572061,0.0866777,0.07981269,0.56073701,0.5830676,0.33607391,0.39729494,0.65808767,0.38615817,0.08840672,0.20322008,0.41644707,0.0895715,0.49593499,0.22777788,0.54217148,0.00849811,0.66307563,0.52102721,0.57997024,0.13967101,0.46090072,0.04055778,0.3946647,0.15228853,0.49478436,0.28673333,0.54895014,0.78946155,0.37607896,0.01234948,0.6265623,0.35963458,0.37920508,0.17294581,0.23084739,0.44629416,0.23049793,0.04286261,0.12880957,0.14976344,0.46242851,0.4499751,0.54367071,0.49863154,0.21525533,0.20963192,0.56789899,0.1878801,0.42602569,0.55995077,0.26804066,0.33348095,0.36999375,0.29619014,0.37208828,0.02102312,0.13008265,0.11246005,0.87439626,0.22583984,0.52139533,0.10630342,0.37088612,0.31863081,0.21354716
Shellcode,3.92688,0.91048336,0.2400365,0.17795812,0.29797634,0.04138561,0.20692803,0.16968098,0.19865091,0.00126932,5.05e-06,0.0,0.0,0.00177367,0.00413856,0.00275904,0.00151195,0.00376842,0.00413856,0.00413856,0.002879,0.0,0.0,0.0,0.00109956,0.00193528,0.00126427,0.0,0.00413856,0.91048336,0.2400365,0.17795812,0.29797634,0.04138561,0.20692803,0.16968098,0.19865091,0.00126932,5.05e-06,0.0,0.0,0.00177367,0.00413856,0.00275904,0.00151195,0.00376842,0.00413856,0.00413856,0.002879,0.0,0.0,0.0,0.00109956,0.00193528,0.00126427,0.0,0.00413856,0.40401763,0.08087382,0.27899286,0.06433643,0.48941505,0.31841034,0.25177252,0.90118843,0.89347333,0.28517887,0.48297185,0.18241796,0.28088099,0.76398903,0.8887313,0.4764213,0.79471481,0.08080763,0.37149736,0.73437589,0.09683733,0.14316742,1.0,0.19541696,0.19455533,0.66278785,0.21768828,0.29975015,0.14532202,0.14470924,0.41244996,0.6213094,0.31410167,-0.06017019,0.04071097,0.03464535,0.4918322,0.53237987,0.75973082,0.76797789,0.15119377,0.75702536,0.15762864,0.29160309,0.19209749,0.00478221,0.21430254,0.59685165,0.23939787,0.35008642,0.52865666,0.26591191,0.38601592,0.27707863,0.23013857,0.2530714,0.37041426,0.29790387,0.47278413,0.34069204,0.29101539,0.11231147,0.12306185,0.03310089,0.25659314,0.21893743,0.4510192,0.38133723,0.09114427,0.23317608,0.23980941,0.46215054
Shellcode,4.319433,0.35146442,0.67364013,0.89696646,0.37709203,0.03661088,0.57112962,0.65167361,0.81642252,0.00153823,2.475e-05,0.0,0.0,0.00156904,0.00366109,0.00244073,0.00138877,0.00222032,0.00366109,0.00366109,0.0014326,0.0,0.0,0.0,0.00214461,0.0020489,0.00151348,0.0,0.00366109,0.35146442,0.67364013,0.89696646,0.37709203,0.03661088,0.57112962,0.65167361,0.81642252,0.00153823,2.475e-05,0.0,0.0,0.00156904,0.00366109,0.00244073,0.00138877,0.00222032,0.00366109,0.00366109,0.0014326,0.0,0.0,0.0,0.00214461,0.0020489,0.00151348,0.0,0.00366109,0.3899084,0.10984731,0.29686514,0.07200024,0.42409882,0.30577695,0.21390834,0.90787876,0.92151105,0.26924539,0.45578173,0.14910935,0.2992034,0.74900502,0.79504716,0.48922884,0.7714259,0.10572843,0.34173632,0.69395792,0.12316166,0.12967849,1.0,0.18440029,0.21926616,0.6922729,0.20081344,0.26062527,0.1451079,0.14236285,0.40490383,0.61708802,0.33592546,-0.04362969,0.06272925,0.0463201,0.4582774,0.50410634,0.72449827,0.76938468,0.14996882,0.72733408,0.17416938,0.27542308,0.18548362,0.01249438,0.2170691,0.57862324,0.25571081,0.3149336,0.50703734,0.30552721,0.36867821,0.30511552,0.24657562,0.23341599,0.39964253,0.33880761,0.49055827,0.38000357,0.27209273,0.14567232,0.13975658,0.06411777,0.26357785,0.25877059,0.45610306,0.348993,0.10211177,0.22497918,0.21088865,0.46850777
Normal,3.064056,0.02636902,0.0,0.34016031,0.10811298,0.02636902,0.0,0.47200543,0.6592254,0.00169714,1.782e-05,0.0,0.0,0.0,0.00065923,0.0,0.00062231,0.00241364,0.0,0.0026369,0.00160507,0.0,0.0,0.0,0.00080012,0.00185933,0.00167931,0.0026369,0.0026369,0.02636902,0.0,0.34016031,0.10811298,0.02636902,0.0,0.47200543,0.6592254,0.00169714,1.782e-05,0.0,0.0,0.0,0.00065923,0.0,0.00062231,0.00241364,0.0,0.0026369,0.00160507,0.0,0.0,0.0,0.00080012,0.00185933,0.00167931,0.0026369,0.0026369,-0.44357488,-0.28327304,-0.05767355,0.00796822,-0.08487422,-0.08351252,-0.50615215,-0.14758793,-0.10680507,-0.27667737,-0.374836,-0.17624258,-0.41267291,-0.2629787,0.01222273,-0.60661846,-0.44646499,-0.19766779,-0.53705615,-0.17499153,-0.54515547,-0.10862248,-0.27722239,-0.37624434,-0.3842341,-0.51287323,-0.1755566,-1.0,-0.06652302,-0.2677314,-0.24234995,-0.38406247,-0.11958131,0.00078331,-0.08288833,-0.09115197,-0.21567449,-0.32071015,-0.13836095,-0.58351982,-0.3396253,-0.22790202,-0.02777477,-0.1312016,-0.17615788,-0.1033261,0.01725979,-0.62357426,-0.16806282,-0.07291617,-0.44390297,-0.13350472,-0.3107537,-0.0415799,-0.42863601,-0.25238699,-0.71520978,-0.17357549,-0.50558585,-0.30275929,-0.41020635,-0.26446798,-0.43489119,-0.03144553,-0.03219376,-0.34197095,-0.15919045,-0.19162752,-0.24763484,-0.30164394,-0.2620649,-0.31721988
